BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	time	treatment	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	source_name	tissue
SAMN04251851	SRX1423937	2015-11-20	1166	764	SRR2931043	SRS1156717	GSM1933349	Azuenca (AZ; IRGC#328, Japonica)	30 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251852	SRX1423938	2015-11-20	4005	2500	SRR2931044	SRS1156720	GSM1933350	Azuenca (AZ; IRGC#328, Japonica)	45 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251853	SRX1423939	2015-11-20	4852	3262	SRR2931045	SRS1156719	GSM1933351	Azuenca (AZ; IRGC#328, Japonica)	45 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251854	SRX1423940	2015-11-20	3610	2437	SRR2931046	SRS1156716	GSM1933352	Azuenca (AZ; IRGC#328, Japonica)	60 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251855	SRX1423941	2015-11-20	6065	4013	SRR2931047	SRS1156714	GSM1933353	Azuenca (AZ; IRGC#328, Japonica)	60 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251856	SRX1423942	2015-11-20	3319	2186	SRR2931048	SRS1156715	GSM1933354	Azuenca (AZ; IRGC#328, Japonica)	75 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251857	SRX1423943	2015-11-20	3965	2680	SRR2931049	SRS1156713	GSM1933355	Azuenca (AZ; IRGC#328, Japonica)	75 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251858	SRX1423944	2015-11-20	3607	2368	SRR2931050	SRS1156711	GSM1933356	Azuenca (AZ; IRGC#328, Japonica)	90 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251859	SRX1423945	2015-11-20	1322	877	SRR2931051	SRS1156712	GSM1933357	Azuenca (AZ; IRGC#328, Japonica)	90 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251860	SRX1423946	2015-11-20	2718	1783	SRR2931052	SRS1156710	GSM1933358	Azuenca (AZ; IRGC#328, Japonica)	105 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251861	SRX1423947	2015-11-20	3203	2105	SRR2931053	SRS1156709	GSM1933359	Azuenca (AZ; IRGC#328, Japonica)	105 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251862	SRX1423948	2015-11-20	4188	2772	SRR2931054	SRS1156708	GSM1933360	Azuenca (AZ; IRGC#328, Japonica)	120 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251863	SRX1423949	2015-11-20	1077	723	SRR2931055	SRS1156707	GSM1933361	Azuenca (AZ; IRGC#328, Japonica)	120 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251864	SRX1423950	2015-11-20	2318	1486	SRR2931056	SRS1156706	GSM1933362	Azuenca (AZ; IRGC#328, Japonica)	135 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251865	SRX1423951	2015-11-20	3925	2733	SRR2931057	SRS1156705	GSM1933363	Azuenca (AZ; IRGC#328, Japonica)	135 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251866	SRX1423952	2015-11-20	3242	2249	SRR2931058	SRS1156703	GSM1933364	Azuenca (AZ; IRGC#328, Japonica)	150 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251867	SRX1423953	2015-11-20	3697	2372	SRR2931059	SRS1156704	GSM1933365	Azuenca (AZ; IRGC#328, Japonica)	165 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251868	SRX1423954	2015-11-20	4360	2859	SRR2931060	SRS1156702	GSM1933366	Azuenca (AZ; IRGC#328, Japonica)	165 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251869	SRX1423955	2015-11-20	3241	2144	SRR2931061	SRS1156700	GSM1933367	Azuenca (AZ; IRGC#328, Japonica)	180 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251870	SRX1423956	2015-11-20	3508	2366	SRR2931062	SRS1156698	GSM1933368	Azuenca (AZ; IRGC#328, Japonica)	180 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251871	SRX1423957	2015-11-20	3653	2297	SRR2931063	SRS1156699	GSM1933369	Azuenca (AZ; IRGC#328, Japonica)	195 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251872	SRX1423958	2015-11-20	4255	2928	SRR2931064	SRS1156701	GSM1933370	Azuenca (AZ; IRGC#328, Japonica)	195 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
