       State	1982	1987	1992	1997	2002	2007	  1982	  1987	1992	1997	2002	2007	2002	2007	2002	2007
   Alabama	899 	626 	474 	479 	265 	231 	1,548 	1,217 	1,011 	968 	594 	393 	191	144	386	307
   Alaska	--	--	2 	4 	9 	10 	--	--	(D)	2 	13 	15 	8	10	(D)	(D)
   Arizona	214 	224 	235 	158 	185 	496 	1,969 	4,881 	5,770 	4,003 	1,581 	1,344 	118	424	1,459	1,249
   Arkansas	512 	451 	247 	238 	164 	153 	2,276 	2,120 	1,430 	1,048 	658 	287 	123	116	560	220
   California	2,904 	2,787 	3,082 	3,454 	2,120 	2,074 	29,933 	34,105 	42,024 	49,704 	38,268 	22,184 	1,850	1,850	35,856	20,954
   Colorado	608 	595 	542 	493 	361 	468 	6,811 	6,481 	5,421 	3,811 	2,112 	1,938 	286	387	1,892	1,719
   Connecticut	309 	272 	295 	242 	247 	248 	4,238 	3,841 	3,531 	2,580 	2,360 	2,421 	197	228	2,113	2,191
   Delaware	24 	18 	16 	18 	17 	23 	888 	1,029 	957 	(D)	(D)	(D)	14	19	(D)	(D)
   Florida	196 	149 	92 	81 	53 	126 	253 	163 	187 	116 	54 	105 	28	82	19	40
   Georgia	893 	669 	525 	428 	305 	286 	4,656 	3,307 	2,591 	2,032 	1,297 	795 	207	212	1,039	601
   Hawaii	--	--	--	--	2 	9 	--	--	--	--	(D)	(D)	2	8	(D)	3
   Idaho	411 	377 	374 	342 	315 	321 	8,408 	9,050 	7,475 	7,542 	3,414 	3,021 	223	276	2,869	2,807
   Illinois	902 	824 	756 	651 	501 	444 	9,197 	8,705 	7,339 	5,389 	3,926 	2,416 	403	367	3,230	1,979
   Indiana	792 	705 	685 	615 	442 	265 	6,027 	5,951 	5,072 	4,977 	3,209 	2,106 	339	233	2,726	1,839
   Iowa	439 	458 	450 	443 	344 	364 	2,308 	2,488 	2,577 	2,301 	2,025 	1,085 	242	294	1,428	920
   Kansas	416 	318 	264 	261 	192 	147 	2,064 	1,310 	987 	979 	599 	333 	151	122	470	245
   Kentucky	1,022 	916 	878 	710 	616 	623 	3,489 	3,372 	3,191 	2,535 	1,920 	1,268 	394	465	1,251	964
   Louisiana	122 	142 	81 	94 	51 	35 	61 	89 	(D)	66 	64 	39 	33	21	54	29
   Maine	400 	386 	388 	349 	374 	345 	7,633 	7,293 	6,341 	4,989 	3,891 	2,883 	282	314	3,424	2,595
   Maryland	551 	453 	392 	338 	288 	252 	7,119 	4,406 	3,211 	3,186 	2,773 	2,330 	208	230	2,363	2,064
   Massachusetts	452 	526 	477 	399 	338 	369 	8,457 	8,415 	7,035 	5,389 	4,479 	4,287 	282	330	4,083	3,938
   Michigan	2,788 	2,516 	2,473 	2,290 	1,750 	1,772 	69,715 	73,244 	76,911 	73,251 	50,539 	44,189 	1,373	1,588	44,411	39,553
   Minnesota	391 	411 	476 	536 	488 	569 	4,073 	4,667 	4,355 	4,190 	3,584 	3,645 	372	478	2,618	2,950
   Mississippi	413 	293 	258 	248 	159 	80 	295 	322 	360 	360 	218 	145 	89	44	115	100
   Missouri	871 	673 	539 	524 	485 	438 	7,218 	5,891 	5,165 	4,928 	3,821 	2,179 	306	338	2,920	1,819
   Montana	142 	145 	160 	148 	187 	186 	365 	445 	443 	485 	411 	340 	152	159	327	219
   Nebraska	100 	124 	126 	106 	107 	125 	468 	586 	613 	626 	439 	(D)	78	84	296	(D)
   Nevada	50 	56 	45 	47 	45 	35 	137 	187 	155 	176 	135 	138 	28	24	97	94
   New Hampshire	219 	209 	227	210 	183 	215 	4,100 	3,694 	3,722 	3,187 	2,455 	2,070 	127	184	2,190	1,912
   New Jersey	509 	563 	522 	485 	525 	471 	7,719 	6,371 	4,542 	3,843 	2,651 	2,112 	424	427	2,324	1,859
   New Mexico	740 	666 	748 	806 	907 	807 	3,397 	3,067 	2,949 	2,671 	2,384 	2,057 	718	723	1,814	1,769
   New York	2,055 	1,726 	1,578 	1,557 	1,447 	1,350 	78,115 	73,195 	67,313 	66,055 	53,233 	49,966 	1,174	1,188	46,994	44,916
   North Carolina	1,500 	1,186 	990 	949 	598 	673 	18,557 	17,972 	14,519 	11,960 	8,538 	7,583 	478	548	7,606	6,803
   North Dakota	38 	29 	32 	28 	5 	21 	73 	68 	35 	(D)	6 	45 	3	9	(D)	33
   Ohio	1,857 	1,614 	1,454 	1,404 	1,282 	1,000 	14,567 	14,386 	12,669 	10,934 	8,485 	5,970 	986	893	6,714	5,296
   Oklahoma	695 	582 	392 	427 	239 	178 	1,710 	1,406 	919 	853 	344 	131 	138	118	165	92
   Oregon	2,053 	1,784 	1,684 	1,763 	1,485 	1,330 	11,633 	12,611 	11,960 	10,958 	7,237 	6,234 	1,305	1,191	6,658	5,562
   Pennsylvania	2,580 	2,270 	1,854 	2,183 	1,777 	1,886 	39,150 	38,732 	33,571 	36,775 	28,110 	23,552 	1,307	1,575	23,020	20,791
   Rhode Island	68 	72 	61 	51 	58 	73 	579 	623 	503 	309 	307 	384 	47	69	265	354
   South Carolina	390 	321 	330 	292 	339 	205 	3,279 	4,780 	4,332 	3,165 	2,880 	566 	194	143	901	482
   South Dakota	48 	60 	39 	40 	35 	60 	114 	306 	278 	222 	173 	362 	25	42	101	238
   Tennessee	1,321 	1,065 	924 	1,003 	357 	543 	3,517 	3,472 	2,991 	2,654 	1,627 	1,330 	242	415	1,138	1,062
   Texas	845 	883 	782 	724 	596 	437 	870 	921 	1,506 	1,250 	854 	441 	338	256	405	278
   Utah	635 	568 	536 	485 	388 	457 	3,970 	5,157 	4,644 	4,036 	2,090 	1,637 	309	427	1,666	1,416
   Vermont	243 	217 	251 	237 	243 	264 	4,936 	4,728 	4,809 	4,067 	3,418 	3,241 	156	235	2,825	2,806
   Virginia	1,400 	1,160 	1,057 	970 	746 	626 	29,972 	27,909 	27,568 	23,600 	19,331 	13,774 	602	462	16,249	12,619
   Washington	5,406 	5,169 	4,596 	4,910 	3,870 	3,052 	145,630 	162,609 	169,107 	215,463 	172,810 	165,215 	3,580	2,912	152,241	152,334
   West Virginia	712 	586 	505 	593 	463 	494 	18,608 	15,551 	11,623 	10,914 	7,461 	5,104 	295	272	6,365	4,424
   Wisconsin	1,027 	856 	965 	1,006 	886 	935 	10,400 	9,869 	9,799 	8,969 	6,794 	6,406 	649	768	5,618	5,136
   Wyoming	25 	18 	20 	16 	14 	20 	41 	33 	53 	75 	(D)	54 	8	12	(D)	44
